task,expected_type,predicted_type,chosen_tier,cost_usd,baseline_usd,dispatch_latency_ms,cache_hit,verified,verdict,escalated_to,rationale
What is the capital of Australia?,factual_lookup,factual_lookup,T1,1.12e-06,0.000125,335.2,False,False,,,Simple factual question with a short answer. | met accuracy but skipped due to latency (p95 73079ms > 4000.0ms); used as fallback
What year did the Berlin Wall fall?,factual_lookup,factual_lookup,T1,1.134e-05,0.00216625,4727.1,False,False,,,Simple date retrieval. | met accuracy but skipped due to latency (p95 73079ms > 4000.0ms); used as fallback
How many milliliters are in a liter?,factual_lookup,factual_lookup,T1,1.53e-06,0.00019875,497.4,False,False,,,This is a simple conversion question. | met accuracy but skipped due to latency (p95 73079ms > 4000.0ms); used as fallback
What is the boiling point of water at sea level in Celsius?,factual_lookup,factual_lookup,T1,3.54e-06,0.0005925,1328.2,False,True,pass,,A simple factual query requiring no complex reasoning. | met accuracy but skipped due to latency (p95 72404ms > 4000.0ms); used as fallback
Which planet is closest to the sun?,factual_lookup,factual_lookup,T1,1.69e-06,0.00023625,579.2,False,False,,,Simple factual question with a one-word answer. | met accuracy but skipped due to latency (p95 72404ms > 4000.0ms); used as fallback
"Classify this ticket as billing, technical, or account: 'I was charged twice for my subscription this month.'",classification,classification,T1,2.89e-06,0.000435,965.1,False,True,pass,,taxonomy backstop -> classification (LLM said factual_lookup) | met accuracy but skipped due to latency (p95 72404ms > 4000.0ms); used as fallback
Is this review positive or negative: 'The product broke after two days and support never replied.',classification,classification,T1,3.21e-06,0.00051,1140.3,False,False,,,Simple sentiment classification task. | met accuracy but skipped due to latency (p95 72404ms > 4000.0ms); used as fallback
"Tag this email as urgent or not-urgent: 'Server room temperature alarm triggered, all racks affected.'",classification,classification,T1,3.3e-06,0.0005225,1158.6,False,False,,,Simple classification based on keywords. | met accuracy but skipped due to latency (p95 72404ms > 4000.0ms); used as fallback
"Summarize in two sentences: Our Q3 launch shipped on time, adoption exceeded forecast by 12%, but churn in the SMB segment rose 3 points due to onboarding friction, which the CS team is addressing with a new guided setup flow.",summarization,summarization,T2,1.077e-05,0.00066125,2911.0,False,False,,,Simple summary of business metrics and issues. | met accuracy but skipped due to latency (p95 72404ms > 4000.0ms); used as fallback
Summarize the key point: The migration to the new data warehouse reduced query latency by 60% but doubled storage costs; finance has asked engineering to evaluate tiered storage before further rollout.,summarization,summarization,T2,1.101e-05,0.00071625,3222.8,False,False,,,Simple summary of technical and financial impacts. | met accuracy but skipped due to latency (p95 72404ms > 4000.0ms); used as fallback
Write a two-line friendly reminder to the team that timesheets are due Friday.,creative_short,creative_short,T1,2e-06,0.00027625,659.6,False,True,pass,,Short and simple creative writing task. | met accuracy but skipped due to latency (p95 72404ms > 4000.0ms); used as fallback
Write a one-sentence product tagline for a reusable coffee cup.,creative_short,creative_short,T1,1.46e-06,0.00017375,446.7,False,False,,,Short creative task with known constraints | met accuracy but skipped due to latency (p95 72404ms > 4000.0ms); used as fallback
Draft a short thank-you note for a customer who reported a bug.,creative_short,creative_short,T1,8.91e-06,0.00166375,3645.0,False,True,pass,,Short creative task with standard phrasing | met accuracy but skipped due to latency (p95 72404ms > 4000.0ms); used as fallback
"Our support bot handled 12,000 queries last month at $0.008 each on the premium model. If 70% could run on a model costing $0.0004 per query, calculate the monthly and yearly savings, and explain the assumptions in your calculation.",multi_step_reasoning,multi_step_reasoning,T3,0.00015545,0.005965,56992.1,False,False,,,Involves multiple steps of calculation and explanation. | met accuracy but skipped due to latency (p95 72404ms > 4000.0ms); used as fallback
